
2026/06/16 (12:10:54) | ===> btop++ v.1.3.2
2026/06/16 (12:10:54) | WARNING: Failed to join _runner thread on exit!

2026/06/16 (12:11:00) | ===> btop++ v.1.3.2
2026/06/16 (12:11:00) | WARNING: ROCm SMI: Failed to get device name
2026/06/16 (12:11:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/06/16 (12:11:00) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/06/16 (12:11:47) | WARNING: Failed to join _runner thread on exit!

2026/06/16 (12:14:44) | ===> btop++ v.1.3.2
2026/06/16 (12:14:44) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2026/06/16 (12:15:46) | ===> btop++ v.1.3.2
2026/06/16 (12:15:46) | WARNING: ROCm SMI: Failed to get device name
2026/06/16 (12:15:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/06/16 (12:15:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2026/06/17 (10:53:38) | ===> btop++ v.1.3.2
2026/06/17 (10:53:38) | WARNING: ROCm SMI: Failed to get device name
2026/06/17 (10:53:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/06/17 (10:53:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2026/06/17 (10:54:14) | ===> btop++ v.1.3.2
2026/06/17 (10:54:14) | WARNING: ROCm SMI: Failed to get device name
2026/06/17 (10:54:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/06/17 (10:54:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2026/06/20 (11:09:01) | ===> btop++ v.1.3.2
2026/06/20 (11:09:01) | WARNING: ROCm SMI: Failed to get device name
2026/06/20 (11:09:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/06/20 (11:09:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2026/06/20 (13:52:49) | ===> btop++ v.1.3.2
2026/06/20 (13:52:49) | WARNING: ROCm SMI: Failed to get device name
2026/06/20 (13:52:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/06/20 (13:52:49) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/06/20 (13:53:02) | WARNING: Failed to join _runner thread on exit!

2026/06/20 (13:53:35) | ===> btop++ v.1.3.2
2026/06/20 (13:53:35) | WARNING: ROCm SMI: Failed to get device name
2026/06/20 (13:53:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/06/20 (13:53:35) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/06/20 (13:53:47) | WARNING: Failed to join _runner thread on exit!

2026/06/20 (23:14:20) | ===> btop++ v.1.3.2
2026/06/20 (23:14:20) | WARNING: ROCm SMI: Failed to get device name
2026/06/20 (23:14:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/06/20 (23:14:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2026/06/28 (10:20:20) | ===> btop++ v.1.3.2
2026/06/28 (10:20:20) | WARNING: ROCm SMI: Failed to get device name
2026/06/28 (10:20:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/06/28 (10:20:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2026/07/01 (12:48:50) | ===> btop++ v.1.3.2
2026/07/01 (12:48:50) | WARNING: ROCm SMI: Failed to get device name
2026/07/01 (12:48:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/01 (12:48:50) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/01 (12:48:56) | WARNING: Failed to join _runner thread on exit!

2026/07/01 (12:51:17) | ===> btop++ v.1.3.2
2026/07/01 (12:51:17) | WARNING: ROCm SMI: Failed to get device name
2026/07/01 (12:51:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
